danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.263,0.277,G,-10.499,major,0.0279,0.981,0,0.209,0.237,87.853,4fN5IsyicR57yhMxuMeyqN,162453,3,G major
0.378,0.308,G,-12.57,major,0.0701,0.775,0,0.118,0.322,203.081,1WGAn0768Mf7yyVpwZJryG,189853,3,G major
0.409,0.555,C#,-9.394,major,0.0285,0.704,2.24e-6,0.0964,0.71,104.598,3qXCV5phLe1XCtYFk0Kkvg,159010,3,C# major
0.623,0.458,G,-17.539,major,0.038,0.678,0,0.29,0.84,88.251,6CYJLhvVCdXvNTQ1KqClL4,150016,4,G major
0.72,0.29,F#,-16.713,major,0.0409,0.313,6.84e-5,0.159,0.532,83.674,7tJJPZDIvlyt2FmIvZzzHb,194080,4,F# major
0.571,0.846,G#,-3.465,major,0.0514,0.267,0,0.0596,0.814,79.334,35T3owPb019jQQLCOpmJjI,147907,4,G# major
0.594,0.561,C,-11.431,minor,0.0546,0.0639,0.00112,0.127,0.655,131.094,1sb7AGizHorLbZA2mpNP1E,195400,4,C minor
0.477,0.718,E,-4.942,major,0.0483,0.731,0,0.226,0.553,118.203,5ixPfNV1Sx1HCuxdmBnbmE,185053,4,E major
0.433,0.691,A,-8.455,minor,0.0548,0.677,5.67e-5,0.628,0.559,119.194,5tiArjE0vFgJyakVsdoFGU,171443,4,A minor
0.804,0.513,C,-11.771,major,0.0777,0.51,0.804,0.0918,0.452,128.862,0lReKXdOP7d4C4T4zLVUSV,142480,4,C major
0.361,0.379,G,-11.373,major,0.0299,0.878,0,0.287,0.453,74.047,58yUXeIPz42mtr3qi4Vldm,140760,4,G major
0.714,0.514,E,-9.254,major,0.0322,0.833,0,0.101,0.87,122.102,7eUH4Gu6OLznr3g0nvrFgc,136253,3,E major
0.488,0.448,A#,-11.282,major,0.0255,0.589,5.98e-5,0.574,0.799,103.617,5mzunZNj85qDDWmCgDKMq5,164813,4,A# major
0.551,0.952,G,-4.886,major,0.0944,0.429,6.86e-4,0.0721,0.625,136.958,6TD08uig72h348vwgry0kq,141493,4,G major
0.409,0.371,G,-13.003,minor,0.0314,0.88,0,0.335,0.597,123.731,2ZN9YZxpinXKmj8O1fJ4wV,123773,3,G minor
0.653,0.649,G,-9.534,major,0.04,0.694,0,0.748,0.834,131.133,4u3hbJHvz3ROzMi7gLm7x0,149827,4,G major
0.631,0.813,G,-6.067,major,0.132,0.367,8.24e-6,0.209,0.807,83.746,5eByLONVak5rrPBnS29nWn,127920,4,G major
0.379,0.654,G#,-13.185,minor,0.0599,0.632,7.96e-5,0.356,0.439,134.755,7eHvL9exLurYXwcHGQlWhD,132853,4,G# minor
0.47,0.65,G,-6.369,major,0.0366,0.59,5.34e-6,0.326,0.367,94.383,0bBeTJkHAQA9feQuLcMefj,152373,3,G major
0.565,0.719,C,-6.442,major,0.0374,0.56,0.015,0.0487,0.969,152.407,7IyB5y7aO3SqTn44VysFua,131960,4,C major
0.324,0.629,A#,-7.964,major,0.0402,0.822,1.35e-6,0.563,0.914,203.744,20cG6ckp4s9C49hxzvShSr,155307,4,A# major
0.822,0.676,A,-12.176,major,0.0484,0.572,0,0.0738,0.927,119.544,3bchn49G7GU1RuNUWMyao7,151400,4,A major
0.268,0.477,D#,-8.931,major,0.0373,0.593,0,0.159,0.265,120.705,5grSleOSb735YU8F5iDp6H,169800,3,D# major
0.609,0.436,G#,-10.125,major,0.0366,0.643,2.63e-5,0.0629,0.87,125.024,4XOEiEjEcRSiY4K57pUZiB,150547,4,G# major
0.646,0.669,A,-8.867,major,0.0409,0.264,0,0.195,0.81,116.345,2lUgiKN1sOIpXhkde5C0Qk,153e3,4,A major
0.818,0.674,C#,-7.79,major,0.0299,0.574,1.4e-6,0.133,0.808,126.672,2fXka3JfyUjcrEWdL8PK0x,154427,4,C# major
0.673,0.386,C,-11.974,major,0.253,0.374,7.06e-6,0.232,0.441,115.054,7BeqqSvYjQUS2QPVLShwWF,512200,4,C major
0.632,0.661,A#,-10.575,major,0.0786,0.485,0,0.0462,0.899,133.624,1Gw1tk0DDbGkDgmSmyi4BF,143560,4,A# major
0.434,0.771,C#,-8.125,minor,0.0421,0.656,0,0.11,0.784,128.326,5qwzlLY0HCptsyLzM9f9Cb,173613,4,C# minor
0.47,0.321,G,-13.241,major,0.0474,0.693,0,0.35,0.398,106.634,4hvbI3SydZQ66lNlWs8hz6,170880,4,G major
0.431,0.396,F,-8.467,major,0.027,0.704,2.74e-4,0.248,0.411,87.353,5XRnhsoeZLhE61py1Kb9fD,166507,4,F major
0.637,0.358,A#,-15.868,major,0.0406,0.326,0.765,0.153,0.885,124.784,1Oz66Cs9PhuILvrI4Pw6xy,138840,4,A# major
0.543,0.814,F,-8.502,major,0.0543,0.757,0,0.368,0.75,151.093,2SxKdqNnuKpaJE8g0zqzXr,169987,4,F major
0.383,0.584,C,-11.181,major,0.0367,0.198,0.0182,0.142,0.557,185.961,6HDakUMdK2KcQZZ4TwyAbB,169107,3,C major
0.476,0.959,E,-5.645,major,0.226,0.37,0,0.97,0.738,149.612,3i08zpZMQll0oIN5apDS0C,124760,1,E major
0.579,0.618,E,-8.237,major,0.0275,0.624,1.29e-5,0.412,0.897,112.07,2yi1HjKqErtxTjK2v5TtjW,145267,4,E major
0.423,0.599,C,-8.657,minor,0.052,0.739,0,0.376,0.737,79.319,6GLaRHkCiQBeIMXHTWrCKA,215373,4,C minor
0.527,0.615,A#,-8.497,major,0.0373,0.619,0,0.164,0.964,134.809,0WhJxcxyQOIK9iaH9GmpKv,119171,4,A# major
0.467,0.769,D,-12.719,major,0.0734,0.118,1.09e-5,0.212,0.802,129.124,0V63SuRRaplCEkWSVTk05B,118520,4,D major
0.451,0.351,F,-9.868,major,0.0245,0.448,0,0.122,0.41,92.135,72BDusX5digwIbCTDd8QXH,161400,4,F major
0.43,0.526,D,-6.195,major,0.0318,0.618,0.0648,0.438,0.837,178.697,4iKb3q2IcMpP0xPToYSuRx,172200,3,D major
0.534,0.226,D,-11.024,major,0.0294,0.485,0,0.133,0.509,115.755,7f1pWZraAy3kL8vPyInkle,172759,4,D major
0.49,0.395,C#,-5.68,major,0.0275,0.54,0,0.187,0.343,112.878,4vSa14GE2qFNtyRp9Twc9k,222560,3,C# major
0.606,0.731,G,-7.607,major,0.0318,0.657,0,0.0966,0.962,125.407,6qmki1lYqXv1TChZTRGaqM,157680,4,G major
0.628,0.609,A#,-10.635,minor,0.0278,0.332,0,0.136,0.775,132.596,7n9i7x2fXDmgCsGExP5CrW,136800,4,A# minor
0.604,0.548,C,-5.607,major,0.0703,0.536,0,0.594,0.577,105.003,2wz9T22pzkpKNuaWLBnY28,178120,4,C major
0.487,0.731,B,-7.968,major,0.0638,0.769,0,0.163,0.719,148.969,6yBBH4mKvCSZ8hN5YMAwHJ,181e3,4,B major
0.32,0.706,C,-7.033,major,0.0432,0.159,0,0.527,0.525,86.828,7LJDHtkeSLTpnecBcQRl93,160467,4,C major
0.561,0.868,F,-3.299,major,0.0591,0.624,0,0.143,0.797,89.762,3r8abMCX4AHlT7iqvvPXTO,156800,4,F major
0.563,0.651,A#,-15.414,major,0.062,0.723,0,0.0806,0.958,170.074,2tDlxFLy9toeMuxFeZYVNm,174427,4,A# major
0.6,0.362,A#,-14.238,major,0.0331,0.764,0.00201,0.108,0.62,122.754,1woFG35C47HlZ8v4hjgmMx,150907,4,A# major
0.552,0.254,F#,-14.527,major,0.0303,0.859,6.41e-6,0.0976,0.721,99.409,1EJQrVf9I93wlkzJAquRWP,130413,4,F# major
0.701,0.497,E,-10.05,major,0.0316,0.595,3.12e-5,0.118,0.963,96.513,1GDAvJth0ebssC2XkG7RYM,133867,4,E major
0.615,0.307,E,-12.504,minor,0.0323,0.864,0.633,0.138,0.33,117.717,4KPeJKhJjmVVlcopLCdLPZ,139653,4,E minor
0.247,0.358,F,-9.724,major,0.0299,0.893,8.48e-6,0.0947,0.168,83.361,7skXVFIQNnTNwBhhCYMKbn,239640,4,F major
0.867,0.522,D,-10.074,major,0.0387,0.349,0.0048,0.199,0.808,129.677,7hyMuOvk2rpt1MomgeKtUk,146560,4,D major
0.305,0.452,F#,-7.501,major,0.0327,0.7,1.45e-6,0.399,0.407,93.623,5YhQUBjKKuOgO8ORSaMiX0,143613,4,F# major
0.422,0.672,A,-7.635,major,0.0447,0.56,0,0.112,0.932,171.508,5uiqNMiidQDffMaBoRRtgC,129947,4,A major
0.339,0.506,F,-12.769,major,0.0348,0.491,0.893,0.0766,0.355,133.459,02oIcYlpfTq4p3ssQnyuqG,125295,4,F major
0.838,0.512,A#,-7.696,minor,0.0359,0.585,0,0.103,0.902,106.067,6T9ew09IfXx4fddKyvebCz,129267,4,A# minor
0.646,0.261,B,-15.913,major,0.0681,0.763,0,0.0849,0.528,118.077,6RyWP3PCAXosigGRL3VbfW,149960,4,B major
0.203,0.442,A#,-9.865,major,0.0337,0.748,0,0.296,0.472,171.776,0YfOnJWqmAKaUvEL1QcNop,191320,3,A# major
0.51,0.718,F,-6.234,major,0.0302,0.437,0,0.3,0.958,124.162,2O5tP6uuOZBhVwDeO4T6Hk,180173,4,F major
